time,M,K,N
0.000700,100,150,200
0.002450,200,250,300
0.005350,300,350,400
0.011850,400,450,500
0.018000,512,512,512
0.041550,600,650,700
0.059700,700,750,800
0.092000,800,850,900
0.165900,1024,1024,1024
1.394950,2048,2048,2048
