time,M,K,N
0.002750,100,150,200
0.013500,200,250,300
0.040550,300,350,400
0.086150,400,450,500
0.134700,512,512,512
0.271200,600,650,700
0.419800,700,750,800
0.617950,800,850,900
1.105050,1024,1024,1024
8.869000,2048,2048,2048
