time,M,K,N
0.000234,100,150,200
0.000675,200,250,300
0.001274,300,350,400
0.002308,400,450,500
0.003222,512,512,512
0.005811,600,650,700
0.008375,700,750,800
0.012824,800,850,900
0.021055,1024,1024,1024
0.101878,2048,2048,2048
