time,M,K,N
0.000107,100,150,200
0.000431,200,250,300
0.001177,300,350,400
0.002540,400,450,500
0.007578,512,512,512
0.006283,600,650,700
0.009466,700,750,800
0.013537,800,850,900
0.040755,1024,1024,1024
0.327757,2048,2048,2048
